airport_id,name,country,latitude,longitude
CYPQ,Peterborough Regional Airport,CA,44.232251,-78.362053
CYPR,Prince Rupert Airport,CA,54.286098480199996,-130.445007324
CYPW,Powell River Airport,CA,49.83420181274414,-124.5
CYPX,Puvirnituq Airport,CA,60.050598,-77.286903
CYPY,Fort Chipewyan Airport,CA,58.7672004699707,-111.11699676513672
CYPZ,Burns Lake Airport,CA,54.3764,-125.950996
CYQA,Muskoka Airport,CA,44.975376,-79.306546
CYQB,Quebec Jean Lesage International Airport,CA,46.7911,-71.393303
CYQD,The Pas Airport,CA,53.97140121459961,-101.09100341796875
CYQF,Red Deer Regional Airport,CA,52.182201,-113.893997
CYQG,Windsor International Airport,CA,42.2756,-82.955597
CYQH,Watson Lake Airport,CA,60.116839,-128.821993
CYQI,Yarmouth Airport,CA,43.826900482177734,-66.08809661865234
CYQK,Kenora Airport,CA,49.788299560546875,-94.36309814453125
CYQL,Lethbridge County Airport,CA,49.6302986145,-112.800003052
CYQM,Greater Moncton Roméo LeBlanc International Airport,CA,46.113189,-64.67719
CYQN,Nakina Airport,CA,50.18280029296875,-86.69640350341797
CYQQ,Comox Valley International Airport / CFB Comox,CA,49.7108,-124.887001
CYQR,Regina International Airport,CA,50.431938,-104.660906
CYQS,St Thomas Municipal Airport,CA,42.77000045776367,-81.11080169677734
CYQT,Thunder Bay International Airport,CA,48.371899,-89.323898
CYQU,Grande Prairie Airport,CA,55.1796989441,-118.885002136
CYQV,Yorkton Municipal Airport,CA,51.264702,-102.461998
CYQW,North Battleford Airport,CA,52.769409,-108.243742
CYQX,Gander International Airport,CA,48.936258,-54.567719
CYQY,Sydney / J.A. Douglas McCurdy Airport,CA,46.161072,-60.049759
CYQZ,Quesnel Airport,CA,53.026100158691406,-122.51000213623047
CYRB,Resolute Bay Airport,CA,74.7169036865,-94.9693984985
CYRI,Rivière-du-Loup Airport,CA,47.764400482177734,-69.58470153808594
CYRJ,Roberval Airport,CA,48.519665,-72.265735
CYRL,Red Lake Airport,CA,51.066898345947266,-93.79309844970703
CYRO,Ottawa / Rockcliffe Airport,CA,45.460496,-75.644001
CYRP,Ottawa / Carp Airport,CA,45.3191986084,-76.0222015381
CYRQ,Trois-Rivières Airport,CA,46.35279846191406,-72.67939758300781
CYRT,Rankin Inlet Airport,CA,62.8114013672,-92.1157989502
CYRV,Revelstoke Airport,CA,50.962245,-118.184258
CYSB,Sudbury Airport,CA,46.625,-80.79889678955078
CYSC,Sherbrooke Airport,CA,45.438599,-71.691399
CYSF,Stony Rapids Airport,CA,59.250301361083984,-105.84100341796875
CYSG,Saint-Georges Airport,CA,46.096401,-70.714699
CYSH,Smiths Falls-Montague (Russ Beach) Airport,CA,44.945801,-75.940598
CYSJ,Saint John Airport,CA,45.31610107421875,-65.89029693603516
CYSL,Saint-Léonard Airport,CA,47.157097,-67.836242
CYSM,Fort Smith Airport,CA,60.020302,-111.961998
CYSN,Niagara District Airport,CA,43.191598,-79.171686
CYSP,Marathon Airport,CA,48.75529861450195,-86.34439849853516
CYSU,Summerside Airport,CA,46.440601,-63.833599
CYTA,Pembroke Airport,CA,45.86439895629883,-77.25170135498047
CYTF,Alma Airport,CA,48.5089,-71.641899
CYTH,Thompson Airport,CA,55.80110168457031,-97.86419677734375
CYTR,CFB Trenton,CA,44.118900299072266,-77.5280990600586
CYTS,Timmins/Victor M. Power,CA,48.569698333699996,-81.376701355
CYTZ,Billy Bishop Toronto City Airport,CA,43.627852,-79.39553
CYUL,Montreal / Pierre Elliott Trudeau International Airport,CA,45.467837,-73.742294
CYUX,Hall Beach Airport,CA,68.7761,-81.2425
CYUY,Rouyn Noranda Airport,CA,48.20610046386719,-78.83560180664062
CYVB,Bonaventure Airport,CA,48.071098,-65.460297
CYVC,La Ronge Airport,CA,55.151401519800004,-105.262001038
CYVD,Virden / RJ (Bob) Andrew Field Regional Aerodrome,CA,49.8783,-100.917999
CYVK,Vernon Regional Airport,CA,50.246163,-119.330963
CYVO,Val-d'Or Airport,CA,48.0532989502,-77.7827987671
CYVP,Kuujjuaq Airport,CA,58.096099853515625,-68.4269027709961
CYVQ,Norman Wells Airport,CA,65.28160095214844,-126.7979965209961
CYVR,Vancouver International Airport,CA,49.193901,-123.183998
CYVV,Wiarton Airport,CA,44.7458,-81.107201
CYWG,Winnipeg / James Armstrong Richardson International Airport,CA,49.909999847399995,-97.2398986816
CYWK,Wabush Airport,CA,52.92190170288086,-66.8644027709961
CYWL,Williams Lake Airport,CA,52.1831016541,-122.054000854
CYWY,Wrigley Airport,CA,63.20940017700195,-123.43699645996094
CYXC,Cranbrook/Canadian Rockies International Airport,CA,49.610802,-115.781998
CYXE,Saskatoon John G. Diefenbaker International Airport,CA,52.170723,-106.700793
